구분번호,사업명,사업기간(시작일),사업기간(종료일),총사업비
237,삼성-동탄 광역급행철도,2014-01-01,2023-12-31,2138191 
238,철도 기반정보 구축 플랫폼 기술개발,2013-05-07,2016-05-06,180 
239,수인선 연수역 역무시설 추가설치,2013-01-01,2014-12-31,4819 
240,부산~울산 동부산관광단지역 신설,2013-09-30,2015-12-31,16275 
241,수도권고속철도 지제역 신설,2013-11-06,2015-11-30,27150 
242,월미은하레일 하자감정평가,2014-01-13,2014-12-31,124 
243,동해남부선 일광지구 지하차도 설치공사,2014-03-27,2016-06-30,1470 
244,수인선 국제여객터미널 정거장 출입구 추가신설,2014-07-08,2015-12-31,1610 
245,수인선 안산시 상부공간 공원조성공사,2014-06-18,2016-12-31,13000 
246,삼성~동탄 광역급행철도 동탄역사 신설,2014-07-17,2020-12-31,39265 
247,경부선 오산역 환승센터 건설사업,2014-08-13,2017-12-29,34555 
248,부산~울산 소골과선교 설치공사,2016-02-01,2018-12-31,2550 
249,철도건설 반환금 처리비(자체),2014-09-18,2015-06-30,10841 
251,호남고속철도 2단계 건설사업,2014-12-04,2025-12-31,2786278 
252,부과세 부가처분비,2014-12-29,2014-12-31,244502 
253,천안~청주공항 복선전철,2016-01-06,2029-12-31,512176 
254,평창동계올림픽지원 기존선 고속,2015-01-16,2018-12-28,105297 
255,철도건설사전조사비(자체),2015-01-14,2020-12-31,1061 
256,원주 ~ 강릉 강릉시구간 지화화,2014-12-05,2018-02-28,40000 
257,무선통신 및 제어시스템 실용화,2014-12-23,2018-12-30,26520 
258,호남고속철도 유지보수비,2010-01-04,2030-12-31,238583 
259,수인선 용현역 출입구 및 환기구 위치변경,2015-01-28,2015-12-31,3379 
260,장항선 복선전철사업,2018-01-01,2026-12-31,839574 
261,수인선 안산시 동서연결도로건설,2013-01-11,2016-12-30,17278 
262,원주~강릉 횡성정거장 공군 유류수불시설,2015-03-03,2017-12-31,6943 
263,(구)경춘선 갈매 군전용선 이설,2015-04-21,2015-12-31,0 
264,수인선 송도역인근 옥골구역 철도덮개구조물,2015-06-10,2016-02-26,10900 
265,경원선 철도복원,2015-06-24,2026-12-31,179111 
266,중앙선 지평역 전동차 연장운행 시설개량,2015-06-26,2016-12-30,6500 
267,부산~울산 원동역 신설사업,2015-12-31,2020-04-30,27787 
268,월곶~판교 복선전철,2016-01-04,2025-12-31,2848621 
269,여주~원주 복선전철,2015-12-31,2027-12-31,934774 
270,문산~임진강 전철화,2016-03-08,2023-12-29,34782 
271,대구권 광역철도,2016-01-06,2023-12-29,209167 
272,충청권 광역철도,2016-01-06,2023-12-29,258285 
273,시설장비 운영비,2016-01-06,2029-12-31,23493 
274,수도권고속철 유지보수,2016-12-01,2047-12-31,78778 
275,평화육교 개체공사,2016-06-10,2018-12-28,23945 
276,장항선 탕정역 신설사업,2016-08-24,2020-02-28,34764 
277,인천발KTX,2017-03-02,2024-12-31,555335 
278,수원발KTX,2017-03-20,2024-12-31,349871 
279,춘천~속초 철도건설,2016-01-02,2027-12-31,3013114 
280,수도권(일산~삼성) 광역급행철도,2017-02-09,2023-12-29,1921709 
281,수인선 천천리 지하차도 공사,2017-06-01,2017-12-29,2603 
282,수서역세권개발사업,2019-07-01,2020-12-31,231525 
283,서대구 고속철도정거장 신설,2017-02-24,2021-12-31,73722 
284,수인선 봉담정거장 환승주차장 신설,2016-02-29,2018-12-31,10887 
285,수인선 옥골구역 철도덮개구조물 2단계 신설,2017-02-28,2018-06-29,14050 
286,용산~강남 복선전철-민자 사업관리(PM),2017-11-01,2025-12-31,392 
287,철도시설 이력관리 시스템구축,2018-01-04,2030-12-31,21473 
288,역명부기 사용,2017-11-06,2030-12-31,1245 
289,철도사후관리 및 지원(국고),2017-12-29,2030-12-31,45224 
290,차량구입비(대곡-소사),2018-02-28,2021-05-31,115080 
291,해외철도수주지원(국고),2017-12-29,2021-12-31,1000 
292,이천~충주 222신호장 공군 유류수불시설,2018-09-03,2021-12-31,6920 
293,진주~광양 전철화,2018-01-02,2023-12-29,156036 
294,차세대 열차제어 기술 개발,2018-07-09,2020-12-31,2754 
295,서해로 하향조정공사,2018-12-17,2020-12-31,4998 
296,대구선 하양역사 대체 신설사업(수탁),2019-01-18,2021-12-31,13084 
297,국가중요시설방호경비(자체),2018-12-31,2030-12-31,617 
298,진접선 복선전철 건설사업 차량기지 개발분담금(서울시),2019-01-01,2021-12-31,7273 
300,대구권 북삼역 신설(수탁),2020-01-02,2023-12-29,46811 
301,서해선 안중 제2과선교 확장(수탁),2021-01-01,2022-12-31,3771 
302,서해선 신남 제2지구 철도시설계획 변경(수탁),2019-12-31,2022-12-30,14500 
303,일반철도 운영시설 유지보수(자체),2019-03-27,2030-03-15,8948 
304,인천공항 제2여객터미널 운영시설 유지보수(자체),2019-03-27,2030-03-15,1109 
306,인천공항 제2여객터미널 차량 유지보수(자체),2019-01-01,2040-12-31,22366 
307,과천지식정보타운 지하철역 신설,2019-08-05,2026-12-31,97869 
308,철도차량 입출고 전용선로 신설(정읍),2019-11-01,2020-10-31,6851 
309,수인선 수원시 지하화 상부 주민편익시설 설치사업,2020-01-02,2021-12-31,18817 
310,동해선(포항~동해)전철화 사업,2019-04-19,2024-12-31,438231 
311,평택~오송 2복선화 사업,2021-01-04,2027-12-31,3238428 
312,남부내륙철도,2021-01-04,2027-12-31,4943834 
313,수서~광주 복선전철,2021-01-04,2030-12-31,1123294 
314,대구산업선 철도건설,2020-01-02,2027-12-31,1551083 
315,석문산단 인입철도,2022-04-22,2027-12-31,1071918 
317,수인선 봉담역 환승시설 연결통로 설치사업,2020-01-30,2020-06-30,2328 
318,수인선 고색역 추가출입구 설치,2020-03-30,2020-12-31,12496 
319,서울지하철 4호선 운영필수시설 설치,2021-04-20,2024-12-31,75272 
320,BIM기반 통합 플랫폼 개발,2020-06-01,2025-12-31,1400 
321,수인선 화성지 지하화 상부 주민편익시설 설치,2020-10-06,2021-12-31,3436 
322,경의선 운천역 신설,2020-06-02,2022-12-30,10269 
323,경원선 회정역 신설사업,2020-07-07,2024-12-31,31374 
324,부전~마산 복선전철 신월역 신설,2020-07-01,2023-12-29,20012 
325,강릉~제진 철도건설,2021-02-09,2027-12-31,3479692 
326,광주송정~순천 철도건설,2021-12-29,2030-12-31,2152021 
327,수도권광역급행철도 C노선,2021-06-21,2028-12-29,2507868 
329,충청권 광역철도 옥천연장(대전~옥천),2021-10-27,2026-12-31,49018 
330,태화강~송정 광역철,2021-04-30,2025-06-02,26245 
331,부전~마산 광역철도,2021-12-28,2030-12-31,3000 
332,수도권전철 풍기역 신설(수탁),2020-12-18,2026-12-31,18668 
333,대구차량사업소 정비시설 공용화 개량사업(수탁),2020-07-02,2024-12-31,2188 
334,제2철도교통관제센터 건설사업,2021-02-17,2026-12-31,376887 
335,1군지사 영외 하화시설 인입철도,2020-12-07,2024-12-31,11534 
336,대곡~소사 전동열차 일산역 연장 운행(수탁),2021-07-23,2023-01-31,10939 
337,경의중앙선 향동역 신설(수탁),2021-11-16,2026-12-31,14775 
338,수도권광역급행철도 B노선(용산~상봉),2022-05-16,2030-12-31,2807691 
339,"수도권광역급행철도 B노선(송도~용산,상봉~마석)",2022-12-30,2030-12-31,10643 
341,진접선 복선전철 선로 등 기반시설 유지보수,2022-03-19,2026-12-31,12605 
343,수도권광역급행철도 A노선 창릉역 신설,2022-05-18,2023-06-30,3455 
344,수도권전철 부성역 신설(수탁),2022-11-09,2030-12-31,40244 
345,수인선 학익역 2단계 신설사업(인천시),2023-07-05,2027-12-31,48151 
346,분당~수서간 도시고속도로 소음저감시설 2단계 설치,2024-03-05,2024-12-31,2486 
